state,fy_declared,incident_type
GA,1953,Tornado
TX,1953,Tornado
LA,1953,Flood
MI,1953,Tornado
MT,1953,Flood
MI,1953,Tornado
IA,1953,Flood
MA,1953,Tornado
TX,1953,Flood
NH,1953,Fire
FL,1954,Flood
AK,1954,Other
MS,1954,Tornado
CA,1954,Flood
GA,1954,Tornado
IA,1954,Flood
TX,1954,Flood
NV,1954,Earthquake
SD,1954,Flood
WV,1954,Flood
RI,1954,Hurricane
MA,1954,Hurricane
ME,1954,Hurricane
CT,1954,Hurricane
NY,1955,Hurricane
NM,1955,Flood
SC,1955,Hurricane
NC,1955,Hurricane
IN,1955,Flood
AK,1955,Other
HI,1955,Volcanic Eruption
CO,1955,Flood
KS,1955,Tornado
OK,1955,Flood
NV,1955,Flood
NC,1955,Hurricane
NM,1955,Flood
SC,1955,Hurricane
MA,1955,Hurricane
CT,1955,Hurricane
NJ,1955,Hurricane
PA,1955,Flood
RI,1955,Hurricane
NY,1955,Hurricane
AK,1956,Other
CA,1956,Flood
NV,1956,Flood
OR,1956,Flood
WA,1956,Flood
PA,1956,Flood
NY,1956,Flood
MI,1956,Tornado
OK,1956,Tornado
ID,1956,Flood
NC,1956,Severe Storm
OH,1956,Other
PA,1956,Severe Storm
CO,1956,Flood
OR,1956,Flood
PA,1956,Severe Storm
PR,1956,Hurricane
NV,1956,Flood
LA,1957,Hurricane
CA,1957,Fire
WV,1957,Flood
KY,1957,Flood
VA,1957,Flood
OR,1957,Flood
WA,1957,Flood
HI,1957,Other
TX,1957,Hurricane
LA,1957,Hurricane
OK,1957,Flood
MO,1957,Tornado
ID,1957,Flood
AR,1957,Tornado
MN,1957,Flood
ND,1957,Tornado
IL,1957,Flood
KS,1957,Flood
CA,1958,Flood
AR,1958,Flood
LA,1958,Flood
TX,1958,Tornado
IA,1958,Flood
NC,1959,Hurricane
KS,1959,Flood
OH,1959,Flood
PA,1959,Flood
IN,1959,Flood
TX,1959,Flood
OK,1959,Flood
HI,1959,Hurricane
OK,1960,Flood
HI,1960,Earthquake
FL,1960,Other
NE,1960,Flood
SD,1960,Flood
MO,1960,Flood
HI,1960,Other
AR,1960,Tornado
OK,1960,Severe Storm
TX,1960,Severe Storm
ID,1960,Fire
FL,1960,Hurricane
NC,1960,Hurricane
AL,1961,Flood
MS,1961,Flood
GA,1961,Flood
IA,1961,Flood
AR,1961,Flood
IN,1961,Flood
IL,1961,Flood
MO,1961,Flood
ID,1961,Flood
WV,1961,Flood
TX,1961,Hurricane
CA,1962,Fire
ID,1962,Flood
NV,1962,Flood
CA,1962,Flood
MD,1962,Flood
DE,1962,Flood
WV,1962,Flood
NJ,1962,Flood
VA,1962,Flood
KY,1962,Flood
NC,1962,Flood
NY,1962,Flood
NE,1962,Flood
SD,1962,Flood
NE,1962,Flood
IA,1962,Flood
MS,1963,Toxic Substances
OR,1963,Severe Storm
WA,1963,Severe Storm
CA,1963,Flood
LA,1963,Toxic Substances
GU,1963,Typhoon
FL,1963,Flood
ID,1963,Flood
NV,1963,Flood
CA,1963,Flood
OR,1963,Flood
WA,1963,Flood
KY,1963,Flood
WV,1963,Flood
VA,1963,Flood
GA,1963,Flood
TN,1963,Flood
HI,1963,Flood
FM,1963,Typhoon
GU,1963,Typhoon
WY,1963,Flood
NE,1963,Flood
AR,1963,Flood
NY,1963,Flood
TX,1963,Hurricane
VT,1964,Drought
CA,1964,Dam/Levee Break
VT,1964,Flood
KY,1964,Flood
IN,1964,Flood
AR,1964,Flood
WV,1964,Flood
OH,1964,Flood
AK,1964,Earthquake
CA,1964,Other
PR,1964,Drought
VI,1964,Drought
MT,1964,Flood
MO,1964,Flood
NE,1964,Flood
FL,1964,Hurricane
GA,1964,Hurricane
FL,1964,Hurricane
LA,1965,Hurricane
NC,1965,Flood
GA,1965,Flood
FM,1965,Typhoon
MT,1965,Snowstorm
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
OR,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
CA,1965,Flood
WA,1965,Flood
